Unique Class Identifier,Subject,Catalog,Descr,Section,Cap Enrl,Pat,Mtg Start,Mtg End,Mode,Descr 1,Career,Term Descr
179010255952826,POLSCI,456S,CHINESE CULTURE AND IDEOLOGY,1,18,MW,3:30:00 PM,4:45:00 PM,In Person,Franklin Center 230,UGRD,2022 Spring Term
179010255973716,MUSIC,244S,GIANTS OF JAZZ,1,18,MW,5:15:00 PM,6:30:00 PM,In Person,Biddle 101,UGRD,2022 Spring Term
179010255973717,AAAS,252S,GIANTS OF JAZZ,1,18,MW,5:15:00 PM,6:30:00 PM,In Person,Biddle 101,UGRD,2022 Spring Term
179010255985255,HISTORY,264,LATIN AM WARS OF INDEPENDENCE,1,15,TTH,12:00:00 PM,1:15:00 PM,In Person,Social Sciences 109,UGRD,2022 Spring Term
179010255985256,AAAS,264,LATIN AM WARS OF INDEPENDENCE,1,15,TTH,12:00:00 PM,1:15:00 PM,In Person,Social Sciences 109,UGRD,2022 Spring Term
179010255985257,ICS,232,LATIN AM WARS OF INDEPENDENCE,1,15,TTH,12:00:00 PM,1:15:00 PM,In Person,Social Sciences 109,UGRD,2022 Spring Term
179010255985258,POLSCI,257,LATIN AM WARS OF INDEPENDENCE,1,15,TTH,12:00:00 PM,1:15:00 PM,In Person,Social Sciences 109,UGRD,2022 Spring Term
179010256242970,SOCIOL,257,MENTAL HEALTH,1,100,MW,3:30:00 PM,4:45:00 PM,In Person,Social Sciences 136,UGRD,2022 Spring Term
179010256242971,GLHLTH,257,MENTAL HEALTH,1,100,MW,3:30:00 PM,4:45:00 PM,In Person,Social Sciences 136,UGRD,2022 Spring Term
179010256242972,PSY,267,MENTAL HEALTH,1,100,MW,3:30:00 PM,4:45:00 PM,In Person,Social Sciences 136,UGRD,2022 Spring Term
179010256255688,POLSCI,402S,ORIGINS OF WWI & WWII,1,18,T,10:15:00 AM,12:45:00 PM,In Person,,UGRD,2022 Spring Term
179010256333151,COMPSCI,342,INFORMATION AND THE INTERNET,1,300,TTH,3:30:00 PM,4:45:00 PM,In Person,Bryan Center Griffith Theater,UGRD,2022 Spring Term
179010256374909,MATH,238L,DATA ANALYSIS AND DECISION SCI,1,25,TTH,8:30:00 AM,9:45:00 AM,In Person,Gross Hall 318,UGRD,2022 Spring Term
179010256374910,MATH,238L,DATA ANALYSIS AND DECISION SCI,01L,25,T,1:45:00 PM,3:30:00 PM,In Person,Gross Hall 324,UGRD,2022 Spring Term
